order,country,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,r,g,b
1,Conservation,221245,981,216,1451,19,3718,3287,1392,186,2822,81,1107,258,0,92,0
2,GrazingNatVeg,6010,218262,2903,2597,1515,7359,2128,1250,59,2264,543,175,196,198,224,182
3,Cropping,572,8305,30824,2693,108,1427,564,285,1,533,502,78,47,51,204,51
4,Other agricultural,227,180,103,555,167,27,775,361,30,487,15,151,16,0,153,0
5,Forest,35249,1639,110,3932,48825,105,232,57,7,201,22,11,0,0,128,0
6,RuralResid,287,46,176,540,11,150274,2504,918,194,637,290,201,38,255,217,222
7,Low-urbanResid,1,0,0,5,0,4,36504,12432,944,113,9,45,0,255,199,206
8,Med-urbanResid,0,0,0,3,0,0,4917,17056,3079,9,0,0,0,255,139,153
9,Hi-urbanResid,0,0,0,0,0,0,168,77,1510,1,0,0,0,255,83,103
10,Intensive Urban,215,632,5,461,0,42,184,86,33,56845,2,217,210,255,235,156
11,Intensive agriculture,47,161,43,61,0,108,47,20,0,50,2391,15,4,217,217,217
12,Industrial,9,32,0,46,0,0,27,13,7,27,0,7932,0,166,166,166
13,Water body,2150,6,4,308,2,0,63,7,0,150,0,16,47070,91,155,213
